hour,average_sentiment,average_sentiment_computed,abs_difference,squared_difference
,-0.65,-0.97,0.32,0.1
0,-0.63,-0.92,0.29,0.08
1,-0.65,-0.93,0.28,0.08
2,-0.52,-0.92,0.4,0.16
3,-0.51,-0.86,0.35,0.12
4,-0.49,-0.82,0.33,0.11
5,-0.51,-0.88,0.37,0.14
6,-0.47,-0.84,0.37,0.14
7,-0.44,-0.85,0.41,0.17
8,-0.44,-0.84,0.4,0.16
9,-0.44,-0.85,0.41,0.17
10,-0.38,-0.81,0.43,0.18
11,-0.43,-0.82,0.39,0.15
12,-0.44,-0.83,0.39,0.15
13,-0.45,-0.84,0.39,0.15
14,-0.48,-0.89,0.41,0.17
15,-0.47,-0.88,0.41,0.17
16,-0.47,-0.86,0.39,0.15
17,-0.41,-0.89,0.48,0.23
18,-0.46,-0.87,0.41,0.17
19,-0.58,-0.9,0.32,0.1
20,-0.48,-0.88,0.4,0.16
21,-0.53,-0.87,0.34,0.12
22,-0.62,-0.91,0.29,0.08
23,-0.63,-0.88,0.25,0.06
